"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2019-08-16-dba_cs_268_5311_gen_inq_script","2019/08/16","dba_cs_268_5311_gen_inq_script","124","86","00:03:16","196","00:17:13","24","16,856"
"2019-08-19-dba_cs_268_5311_gen_inq_script","2019/08/19","dba_cs_268_5311_gen_inq_script","166","160","00:00:48","48","00:07:32","3","7,680"
"2019-08-20-dba_cs_268_5311_gen_inq_script","2019/08/20","dba_cs_268_5311_gen_inq_script","138","110","00:02:45","165","00:13:51","15","18,150"
"2019-08-21-dba_cs_268_5311_gen_inq_script","2019/08/21","dba_cs_268_5311_gen_inq_script","141","107","00:03:14","194","00:25:36","22","20,758"
"2019-08-22-dba_cs_268_5311_gen_inq_script","2019/08/22","dba_cs_268_5311_gen_inq_script","155","123","00:02:24","144","00:12:38","22","17,712"
"2019-08-23-dba_cs_268_5311_gen_inq_script","2019/08/23","dba_cs_268_5311_gen_inq_script","109","87","00:02:21","141","00:10:22","18","12,267"
"2019-08-26-dba_cs_268_5311_gen_inq_script","2019/08/26","dba_cs_268_5311_gen_inq_script","134","108","00:02:13","133","00:12:27","16","14,364"
"2019-08-27-dba_cs_268_5311_gen_inq_script","2019/08/27","dba_cs_268_5311_gen_inq_script","115","100","00:01:37","97","00:10:56","11","9,700"
"2019-08-28-dba_cs_268_5311_gen_inq_script","2019/08/28","dba_cs_268_5311_gen_inq_script","101","94","00:00:54","54","00:07:17","6","5,076"
"2019-08-29-dba_cs_268_5311_gen_inq_script","2019/08/29","dba_cs_268_5311_gen_inq_script","122","116","00:00:41","41","00:08:23","5","4,756"
"2019-08-30-dba_cs_268_5311_gen_inq_script","2019/08/30","dba_cs_268_5311_gen_inq_script","115","97","00:01:58","118","00:14:10","15","11,446"
"2019-09-02-dba_cs_268_5311_gen_inq_script","2019/09/02","dba_cs_268_5311_gen_inq_script","5","0","00:00:00","0","00:00:00","0","0"
"2019-09-03-dba_cs_268_5311_gen_inq_script","2019/09/03","dba_cs_268_5311_gen_inq_script","131","87","00:04:15","255","00:13:08","26","22,185"
"2019-09-04-dba_cs_268_5311_gen_inq_script","2019/09/04","dba_cs_268_5311_gen_inq_script","166","92","00:04:45","285","00:28:30","38","26,220"
"2019-09-05-dba_cs_268_5311_gen_inq_script","2019/09/05","dba_cs_268_5311_gen_inq_script","115","103","00:02:03","123","00:12:29","8","12,669"
"2019-09-06-dba_cs_268_5311_gen_inq_script","2019/09/06","dba_cs_268_5311_gen_inq_script","134","120","00:01:20","80","00:08:46","11","9,600"
"2019-09-09-dba_cs_268_5311_gen_inq_script","2019/09/09","dba_cs_268_5311_gen_inq_script","140","112","00:03:16","196","00:22:20","18","21,952"
"2019-09-10-dba_cs_268_5311_gen_inq_script","2019/09/10","dba_cs_268_5311_gen_inq_script","136","111","00:02:38","158","00:15:00","18","17,538"
"2019-09-11-dba_cs_268_5311_gen_inq_script","2019/09/11","dba_cs_268_5311_gen_inq_script","118","97","00:02:32","152","00:19:49","16","14,744"
"2019-09-12-dba_cs_268_5311_gen_inq_script","2019/09/12","dba_cs_268_5311_gen_inq_script","101","79","00:02:32","152","00:11:54","17","12,008"
"2019-09-13-dba_cs_268_5311_gen_inq_script","2019/09/13","dba_cs_268_5311_gen_inq_script","101","90","00:01:40","100","00:07:21","10","9,000"
"2019-09-16-dba_cs_268_5311_gen_inq_script","2019/09/16","dba_cs_268_5311_gen_inq_script","121","117","00:00:27","27","00:05:06","2","3,159"
"2019-09-17-dba_cs_268_5311_gen_inq_script","2019/09/17","dba_cs_268_5311_gen_inq_script","116","96","00:02:09","129","00:12:38","15","12,384"
"2019-09-18-dba_cs_268_5311_gen_inq_script","2019/09/18","dba_cs_268_5311_gen_inq_script","126","101","00:02:45","165","00:15:04","19","16,665"
"2019-09-19-dba_cs_268_5311_gen_inq_script","2019/09/19","dba_cs_268_5311_gen_inq_script","83","70","00:01:14","74","00:07:42","9","5,180"
"2019-09-20-dba_cs_268_5311_gen_inq_script","2019/09/20","dba_cs_268_5311_gen_inq_script","105","92","00:03:10","190","00:13:11","7","17,480"
"2019-09-23-dba_cs_268_5311_gen_inq_script","2019/09/23","dba_cs_268_5311_gen_inq_script","132","109","00:03:30","210","00:13:50","17","22,890"
"2019-09-24-dba_cs_268_5311_gen_inq_script","2019/09/24","dba_cs_268_5311_gen_inq_script","129","115","00:01:23","83","00:14:20","12","9,545"
"2019-09-25-dba_cs_268_5311_gen_inq_script","2019/09/25","dba_cs_268_5311_gen_inq_script","119","105","00:01:57","117","00:11:02","10","12,285"
"2019-09-26-dba_cs_268_5311_gen_inq_script","2019/09/26","dba_cs_268_5311_gen_inq_script","124","118","00:01:21","81","00:14:30","4","9,558"
"2019-09-27-dba_cs_268_5311_gen_inq_script","2019/09/27","dba_cs_268_5311_gen_inq_script","120","95","00:01:50","110","00:19:21","15","10,450"
"2019-09-30-dba_cs_268_5311_gen_inq_script","2019/09/30","dba_cs_268_5311_gen_inq_script","113","99","00:01:13","73","00:08:27","8","7,227"
